MTG20140417AND11,Moto G,+ACI-16GB White, Unlocked B+ACI-
MTE20140417AND12,Moto E,+ACI-8GB Green, Unlocked B+ACI-
MTX20150417AND13,Moto X Play,+ACI-32GB Black, Unlocked B+ACI-
MTG20160417AND14,Moto G,+ACI-16GB White, Unlocked A+ACI-
MTE20160417AND15,Moto E,+ACI-8GB Black, Unlocked B+ACI-
MTX20160417AND16,Moto X Play,+ACI-32GB White, Unlocked B+ACI-
SLAPLENB407008A17,Lenovo B40+AC0-70,3558U/2GB Ram/500GB HDD
SLAPLENG504504A18,Lenovo G50+AC0-45,A6+AC0-6310/4GB Ram/500GB HDD
SAPPIPH416GWUNLB19,Apple iPhone 4 ,+ACI-16GB White, Unlocked B+ACI-
SAPPIPH432GBUNLB110,Apple iPhone 4 ,+ACI-32GB Black, Unlocked B+ACI-
SAPPIPH4S8GBUNLB111,Apple iPhone 4S ,+ACI-8GB Black, Unlocked B+ACI-
SAPPIPH564GBUNLB112,Apple iPhone 5 ,+ACI-64GB Black, Unlocked B+ACI-
SAPPI5C32GWUNLB113,Apple iPhone 5C ,+ACI-32GB White, Unlocked B+ACI-
SAPPI5C8GGUNLB114,Apple iPhone 5C ,+ACI-8GB Green, Unlocked B+ACI-
SAPPI5S16GGUNLA115,Apple iPhone 5S ,+ACI-16GB Grey, Unlocked A+ACI-
SAPPI5S16GGUNLB116,Apple iPhone 5S ,+ACI-16GB Grey, Unlocked B+ACI-
SAPPI5S16GWUNLA117,Apple iPhone 5S ,+ACI-16GB Silver, Unlocked A+ACI-
SAPPI616GGOUNLA118,Apple iPhone 6 ,+ACI-16GB Gold, Unlocked A+ACI-
SAPPI616GGRUNLB119,Apple iPhone 6 ,+ACI-16GB Grey, Unlocked B+ACI-
SAPPI6P128GGOUNLA120,Apple iPhone 6 Plus ,+ACI-128GB Gold, Unlocked A+ACI-
I8350OMIUNLB121,I8350 Ominia,+ACI-16GB White, Unlocked B+ACI-
I9300GALS3UNLB122,I9300 GALAXY S III,+ACI-32GB Black, Unlocked B+ACI-
I9100GALS2UNLB123,I9100 GALAXY S II,+ACI-8GB Black, Unlocked B+ACI-
I9070GAKSADVUNLB124,I9070 GALAXY S Advance,+ACI-64GB Black, Unlocked B+ACI-
I9300GALS3AS1UNLB125,I9300 GALAXY S III,+ACI-32GB White, Unlocked B+ACI-
I9100GALS2AS1UNLB126,I9100 GALAXY S II,+ACI-8GB Green, Unlocked B+ACI-
I9070GAKSADVAS127,I9070 GALAXY S Advance,+ACI-16GB Grey, Unlocked A+ACI-
N7000GALNOTEUNLB128,N7000 GALAXY NOTE,+ACI-16GB Grey, Unlocked B+ACI-
S5253WAVEUNLA129,S5253 WAVE 525 w/m,+ACI-16GB Silver, Unlocked A+ACI-
S5300POCKTUNLA130,S5300 Pocket,+ACI-16GB Gold, Unlocked A+ACI-
B5512GALYPDUNLB131,B5512 Galaxy Y Pro Duos,+ACI-16GB Grey, Unlocked B+ACI-
S6102GALYPUNLB132,S6102 Galaxy Y Duos,+ACI-8GB Gold, Unlocked A+ACI-
S5360GALYUNLB133,S5360 GALAXY Y,+ACI-16GB White, Unlocked B+ACI-
S5360GALCOLUNLB134,S5360 GALAXY Y COLOURS,+ACI-32GB Black, Unlocked B+ACI-
S5830ACEUNLB135,S5830 GALAXY Ace,+ACI-8GB Black, Unlocked B+ACI-
S7500ACEPUNLB136,S7500 GALAXY Ace Plus,+ACI-64GB Black, Unlocked B+ACI-
S6802ACEDUNLB137,S6802 Galaxy Ace Duos,+ACI-32GB White, Unlocked B+ACI-
S7250WAVEMUNLB138,S7250 WAVE M,+ACI-8GB Green, Unlocked B+ACI-
S8600WAVEIIIUNLB139,S8600 WAVE III,+ACI-16GB Grey, Unlocked A+ACI-
S5380WAVEYUNLB140,S5380 WAVE Y,+ACI-16GB Grey, Unlocked B+ACI-
C3312DELDUNLB141,C3312 DELUX DUOS,+ACI-16GB Silver, Unlocked A+ACI-
C3312DELDCUNLB142,C3312 DELUX DUOS Colours,+ACI-16GB Gold, Unlocked A+ACI-
C3222CDWMUNLB143,C3222 Ch+AEA-t 322 DUAL WM,+ACI-16GB Grey, Unlocked B+ACI-
C3752DUALSLIUNLB144,C3752 (DUAL SLIDER),+ACI-8GB Green, Unlocked B+ACI-
C6712STAIIDUNLB145,C6712 STAR II DUOS,Tizen Powered Phones
S5222STA3DUNLB146,S5222 Star 3 DUOS,+ACI-8GB Green, Unlocked B+ACI-
E1232DUAHMUNLB147,E1232 DUAL Hero Music,Tizen Powered Phones
E2152DU5WMUNLB148,E2152 DUAL 35 W/M,+ACI-8GB Green, Unlocked B+ACI-
E2222CDULUNLB149,E2222 Ch+AEA-t222 (DUAL),Tizen Powered Phones
E2232DUALUNLB150,E2232 DUAL,+ACI-8GB Green, Unlocked B+ACI-
